order_id,customer_id,restaurant_id,order_timestamp,order_amount,discount_amount,delivery_fee,payment_mode,order_status,revenue,year,month
O000054,C00884,R0011,2024-10-29,458.49,45.85,31,UPI,Delivered,443.64,2024,October
O000055,C03323,R0150,2024-01-21,299.14,0,44,UPI,Delivered,343.14,2024,January
O000056,C00442,R0171,2024-08-11,920.88,92.09,22,Cash,Refunded,850.79,2024,August
O000057,C02706,R0103,2026-01-15,326.57,0,54,Wallet,Delivered,380.57,2026,January
O000058,C04803,R0076,2025-08-10,739.95,0,27,Cash,Cancelled,766.95,2025,August
O000059,C04373,R0188,2026-01-03,1335.6,0,58,Card,Refunded,1393.6,2026,January
O000060,C02739,R0021,2026-04-21,1127.84,0,59,Wallet,Delivered,1186.84,2026,April
O000061,C04455,R0184,2024-02-12,1467.44,146.74,43,Cash,Cancelled,1363.7,2024,February
O000062,C02699,R0020,2025-06-28,630.68,63.07,43,UPI,Delivered,610.61,2025,June
O000063,C02967,R0006,2024-06-17,700.44,0,59,Cash,Refunded,759.44,2024,June
O000064,C03353,R0009,2024-12-07,1306.36,130.64,44,UPI,Delivered,1219.72,2024,December
O000065,C01918,R0039,2024-11-01,592.24,59.22,33,Cash,Delivered,566.02,2024,November
O000066,C03757,R0074,2025-01-02,373.15,37.31,36,Card,Delivered,371.84,2025,January
O000067,C03410,R0173,2024-08-16,1042.71,0,59,Wallet,Delivered,1101.71,2024,August
O000068,C00480,R0005,2025-07-27,587.46,0,27,UPI,Delivered,614.46,2025,July
O000069,C00544,R0180,2024-04-03,1448.11,0,60,Card,Cancelled,1508.11,2024,April
O000070,C01089,R0143,2024-12-08,626.96,62.7,27,Wallet,Refunded,591.26,2024,December
O000071,C00450,R0143,2024-09-12,1291.47,129.15,60,Wallet,Delivered,1222.32,2024,September
O000072,C00606,R0057,2024-03-13,330.09,33.01,56,Wallet,Delivered,353.08,2024,March
O000073,C00694,R0139,2024-01-02,709.35,70.94,59,Wallet,Refunded,697.41,2024,January
O000074,C01900,R0096,2025-04-04,781.06,0,32,Wallet,Cancelled,813.06,2025,April
O000075,C00376,R0141,2024-02-01,354.52,0,50,UPI,Cancelled,404.52,2024,February
O000076,C01082,R0081,2025-07-24,1427.74,0,29,Cash,Cancelled,1456.74,2025,July
O000077,C03101,R0047,2025-02-15,558.46,0,47,Card,Delivered,605.46,2025,February
O000078,C00217,R0123,2024-10-15,577.21,57.72,25,UPI,Delivered,544.49,2024,October
O000079,C02282,R0173,2024-01-27,1453.76,145.38,22,Cash,Delivered,1330.38,2024,January
O000080,C03566,R0170,2025-05-28,1466,146.6,55,Wallet,Cancelled,1374.4,2025,May
O000081,C01992,R0045,2024-06-18,703.04,70.3,23,UPI,Delivered,655.74,2024,June
O000082,C01363,R0051,2026-01-15,321.1,32.11,28,UPI,Cancelled,316.99,2026,January
O000083,C03368,R0188,2026-04-16,1435.1,0,20,Card,Cancelled,1455.1,2026,April
O000084,C03869,R0065,2026-04-15,364.65,0,50,UPI,Delivered,414.65,2026,April
O000085,C03046,R0110,2025-05-16,1161.11,0,37,UPI,Cancelled,1198.11,2025,May
O000086,C03944,R0074,2024-12-26,917.68,91.77,44,Wallet,Delivered,869.91,2024,December
O000087,C03322,R0076,2026-04-26,294.37,29.44,36,UPI,Delivered,300.93,2026,April
O000088,C03698,R0089,2025-02-12,1268.06,126.81,53,Cash,Refunded,1194.25,2025,February
O000089,C04191,R0056,2024-12-16,330.07,0,28,Cash,Cancelled,358.07,2024,December
O000090,C03834,R0128,2026-02-08,1540.26,0,47,UPI,Cancelled,1587.26,2026,February
O000091,C04746,R0144,2024-10-06,815.24,81.52,46,UPI,Refunded,779.72,2024,October
O000092,C03155,R0053,2024-02-10,900.39,0,32,UPI,Delivered,932.39,2024,February
O000093,C04117,R0049,2025-07-14,1258.04,125.8,43,Card,Cancelled,1175.24,2025,July
O000094,C02812,R0025,2024-11-26,904.28,90.43,40,Card,Cancelled,853.85,2024,November
O000095,C03623,R0003,2026-04-12,1176.31,117.63,21,Card,Cancelled,1079.68,2026,April
O000096,C01839,R0037,2024-08-18,574.24,0,38,Cash,Cancelled,612.24,2024,August
O000097,C01670,R0185,2025-03-06,1457.83,145.78,57,Card,Delivered,1369.05,2025,March
O000098,C02478,R0068,2024-03-05,751.41,0,60,Wallet,Delivered,811.41,2024,March
O000099,C00295,R0075,2024-09-28,1442.24,0,50,Cash,Delivered,1492.24,2024,September
O000100,C01208,R0119,2024-09-29,397.45,39.75,38,UPI,Delivered,395.7,2024,September
O000101,C04034,R0095,2024-07-09,1444.09,0,41,UPI,Delivered,1485.09,2024,July
O000102,C02224,R0079,2025-12-06,1113.93,111.39,26,Wallet,Cancelled,1028.54,2025,December
O000103,C01703,R0083,2025-02-04,1232.65,0,36,UPI,Refunded,1268.65,2025,February
O000104,C03544,R0178,2026-02-04,1403.67,0,56,UPI,Delivered,1459.67,2026,February
O000105,C01320,R0051,2024-04-20,528.24,0,34,UPI,Delivered,562.24,2024,April
O000106,C00163,R0023,2025-06-03,1232.47,0,56,UPI,Cancelled,1288.47,2025,June
O000107,C04032,R0031,2025-08-08,1269.69,0,41,Wallet,Cancelled,1310.69,2025,August
O000108,C03410,R0114,2024-10-01,1432.86,143.29,41,UPI,Delivered,1330.57,2024,October
O000109,C00852,R0049,2025-12-06,734.06,0,24,UPI,Cancelled,758.06,2025,December
O000110,C02195,R0054,2024-05-18,517.16,0,51,UPI,Refunded,568.16,2024,May
O000111,C04711,R0196,2025-10-03,371.66,0,31,Wallet,Refunded,402.66,2025,October
O000112,C03216,R0172,2025-06-16,925.25,92.53,25,Wallet,Delivered,857.72,2025,June
O000113,C01212,R0052,2024-09-16,1045.84,0,30,Card,Refunded,1075.84,2024,September
O000114,C00794,R0124,2025-03-12,460.05,46.01,45,Cash,Refunded,459.04,2025,March
O000115,C00967,R0048,2024-05-19,1354.52,0,32,UPI,Delivered,1386.52,2024,May
O000116,C04532,R0025,2024-09-13,1038.31,0,36,Cash,Cancelled,1074.31,2024,September
O000117,C01816,R0145,2025-07-14,1525.33,0,39,Cash,Delivered,1564.33,2025,July
O000118,C02673,R0198,2024-07-05,1341.03,0,55,Cash,Delivered,1396.03,2024,July
O000119,C02990,R0116,2025-10-11,1394.17,0,27,Cash,Delivered,1421.17,2025,October
O000120,C01024,R0004,2026-03-22,599.44,0,55,UPI,Refunded,654.44,2026,March
O000121,C00905,R0020,2025-04-29,370.69,37.07,20,Cash,Delivered,353.62,2025,April
O000122,C03431,R0025,2024-12-15,1432.04,0,26,Cash,Delivered,1458.04,2024,December
O000123,C00390,R0103,2026-04-24,1156.12,0,32,UPI,Refunded,1188.12,2026,April
O000124,C03305,R0196,2024-05-01,591.87,59.19,31,Cash,Refunded,563.68,2024,May
O000125,C00320,R0149,2025-03-07,1452.8,0,23,Card,Refunded,1475.8,2025,March
O000126,C02774,R0134,2024-05-18,470.82,0,32,Cash,Delivered,502.82,2024,May
O000127,C02599,R0013,2026-02-18,1237.81,0,59,UPI,Delivered,1296.81,2026,February
O000128,C02646,R0083,2025-08-09,706.03,0,35,UPI,Delivered,741.03,2025,August
O000129,C04449,R0056,2024-09-30,513.47,0,31,Cash,Delivered,544.47,2024,September
O000130,C04922,R0034,2025-09-13,1028.6,0,57,UPI,Cancelled,1085.6,2025,September
O000131,C02320,R0022,2024-11-26,943.06,0,57,UPI,Cancelled,1000.06,2024,November
O000132,C02522,R0083,2024-07-07,1168.41,0,24,UPI,Delivered,1192.41,2024,July
O000133,C02569,R0133,2026-02-21,319.59,0,52,Cash,Delivered,371.59,2026,February
O000134,C00574,R0181,2025-06-17,366.41,0,50,Cash,Delivered,416.41,2025,June
O000135,C02082,R0094,2025-08-02,248.26,0,58,UPI,Delivered,306.26,2025,August
O000136,C00437,R0093,2025-07-08,1380.81,138.08,52,UPI,Refunded,1294.73,2025,July
O000137,C00290,R0081,2026-02-16,286.71,0,39,UPI,Delivered,325.71,2026,February
O000138,C02889,R0165,2024-04-04,1218.24,0,40,Card,Cancelled,1258.24,2024,April
O000139,C04312,R0167,2024-08-11,310.37,0,25,UPI,Refunded,335.37,2024,August
O000140,C03934,R0133,2025-12-21,350.8,0,60,UPI,Delivered,410.8,2025,December
O000141,C01716,R0003,2025-05-31,1179.9,117.99,55,Card,Delivered,1116.91,2025,May
O000142,C04714,R0024,2024-12-22,1264.62,0,35,Cash,Delivered,1299.62,2024,December
O000143,C00076,R0037,2025-05-01,1252.96,125.3,51,Wallet,Delivered,1178.66,2025,May
O000144,C04190,R0025,2025-09-12,1170.08,0,20,Wallet,Refunded,1190.08,2025,September
O000145,C02210,R0120,2025-11-14,587.66,0,56,UPI,Delivered,643.66,2025,November
O000146,C00513,R0192,2025-04-12,673.47,67.35,53,Card,Delivered,659.12,2025,April
O000147,C01346,R0046,2025-01-26,1366.96,0,27,Wallet,Cancelled,1393.96,2025,January
O000148,C03703,R0160,2025-03-03,1171.73,117.17,60,Wallet,Delivered,1114.56,2025,March
O000149,C01849,R0113,2026-02-05,352.32,0,43,Cash,Delivered,395.32,2026,February
O000150,C04029,R0090,2026-03-09,764.36,0,31,Wallet,Cancelled,795.36,2026,March
O000151,C03357,R0094,2025-09-26,247.47,0,31,Cash,Cancelled,278.47,2025,September
O000152,C04004,R0122,2025-09-30,1384.06,0,51,Cash,Delivered,1435.06,2025,September
O000153,C03915,R0016,2026-04-21,645.06,0,36,UPI,Delivered,681.06,2026,April
O000154,C01723,R0186,2025-06-22,538.86,53.89,47,UPI,Cancelled,531.97,2025,June
O000155,C03868,R0199,2025-12-06,1177.4,0,25,UPI,Delivered,1202.4,2025,December
O000156,C03364,R0034,2024-02-02,1195.75,119.58,58,UPI,Refunded,1134.17,2024,February
O000157,C01671,R0136,2025-12-24,1364.54,136.45,22,UPI,Delivered,1250.09,2025,December
O000158,C04054,R0149,2024-11-06,1441.88,0,59,UPI,Delivered,1500.88,2024,November
O000159,C04971,R0114,2024-12-25,1332.34,0,30,Wallet,Cancelled,1362.34,2024,December
O000160,C00237,R0031,2025-09-18,547.93,54.79,24,Wallet,Refunded,517.14,2025,September
O000161,C02891,R0169,2024-05-25,985.46,98.55,56,Card,Delivered,942.91,2024,May
O000162,C03973,R0148,2025-02-24,632.45,0,44,Cash,Refunded,676.45,2025,February
O000163,C03758,R0191,2024-01-02,429.04,0,45,Wallet,Cancelled,474.04,2024,January
O000164,C00925,R0147,2025-03-17,1259.71,125.97,40,UPI,Cancelled,1173.74,2025,March
O000165,C04592,R0125,2026-01-13,590.6,59.06,51,UPI,Delivered,582.54,2026,January
O000166,C02766,R0101,2024-02-08,690.52,69.05,28,Wallet,Cancelled,649.47,2024,February
O000167,C01721,R0011,2025-03-12,1216.28,0,50,UPI,Delivered,1266.28,2025,March
O000168,C03676,R0097,2024-02-21,991.15,0,59,UPI,Cancelled,1050.15,2024,February
O000169,C01092,R0028,2024-02-11,996.32,99.63,46,Card,Refunded,942.69,2024,February
O000170,C02063,R0084,2024-03-12,1028.12,0,37,UPI,Delivered,1065.12,2024,March
O000171,C02112,R0082,2026-03-11,1515.74,0,58,Cash,Delivered,1573.74,2026,March
O000172,C03373,R0157,2025-06-22,765.11,76.51,25,Card,Delivered,713.6,2025,June
O000173,C01630,R0054,2026-02-13,1447.78,144.78,39,Cash,Delivered,1342,2026,February
O000174,C03217,R0182,2024-12-29,1161.49,116.15,41,Wallet,Cancelled,1086.34,2024,December
O000175,C03832,R0085,2025-06-29,706.27,0,32,Wallet,Delivered,738.27,2025,June
O000176,C04902,R0157,2025-01-25,772.11,0,33,UPI,Delivered,805.11,2025,January
O000177,C01157,R0194,2024-06-02,961.96,0,46,UPI,Delivered,1007.96,2024,June
O000178,C03928,R0145,2025-09-30,935.3,0,52,UPI,Refunded,987.3,2025,September
O000179,C04637,R0028,2024-12-24,334.4,33.44,48,UPI,Delivered,348.96,2024,December
O000180,C00823,R0013,2025-05-29,1323.2,132.32,32,UPI,Delivered,1222.88,2025,May
O000181,C01390,R0092,2025-11-19,1000.89,100.09,42,UPI,Delivered,942.8,2025,November
O000182,C02852,R0192,2025-11-14,924.99,92.5,38,Wallet,Refunded,870.49,2025,November
O000183,C03988,R0136,2024-12-21,676.98,67.7,59,Cash,Refunded,668.28,2024,December
O000184,C04799,R0180,2026-03-17,458.72,0,26,Cash,Delivered,484.72,2026,March
O000185,C00152,R0173,2025-06-02,542.63,54.26,29,UPI,Refunded,517.37,2025,June
O000186,C04853,R0063,2024-03-11,1256.1,125.61,31,UPI,Cancelled,1161.49,2024,March
O000187,C01733,R0097,2025-06-02,1386.95,138.7,50,Wallet,Refunded,1298.25,2025,June
O000188,C02123,R0121,2024-02-28,996.87,99.69,36,UPI,Delivered,933.18,2024,February
O000189,C00681,R0119,2025-07-29,1018.81,0,31,UPI,Delivered,1049.81,2025,July
O000190,C04649,R0052,2025-05-28,805.19,0,40,Card,Cancelled,845.19,2025,May
O000191,C01716,R0146,2026-01-24,1274.51,127.45,50,Card,Delivered,1197.06,2026,January
O000192,C02117,R0157,2026-02-24,832.63,83.26,51,Cash,Cancelled,800.37,2026,February
O000193,C02020,R0192,2025-07-14,449.86,44.99,29,Cash,Delivered,433.87,2025,July
O000194,C02208,R0158,2024-02-21,738.46,0,53,UPI,Refunded,791.46,2024,February
O000195,C02591,R0131,2024-12-22,403.83,40.38,44,UPI,Cancelled,407.45,2024,December
O000196,C04447,R0191,2026-02-24,413.99,0,35,Cash,Delivered,448.99,2026,February
O000197,C01922,R0135,2024-12-27,338.64,0,23,UPI,Delivered,361.64,2024,December
O000198,C01765,R0141,2025-04-16,1378.35,137.84,42,Wallet,Delivered,1282.51,2025,April
O000199,C02421,R0016,2025-12-04,773.61,77.36,29,UPI,Delivered,725.25,2025,December
O000200,C04332,R0180,2025-09-27,300.85,30.09,33,UPI,Delivered,303.76,2025,September
O000201,C00742,R0152,2024-04-08,1532.45,153.25,24,Cash,Delivered,1403.2,2024,April
O000202,C01247,R0050,2024-07-01,1248.58,124.86,20,UPI,Delivered,1143.72,2024,July
O000203,C00486,R0182,2024-01-29,394.27,39.43,52,UPI,Delivered,406.84,2024,January
O000204,C03931,R0072,2026-02-19,1396.68,139.67,40,Card,Cancelled,1297.01,2026,February
O000205,C02849,R0018,2024-06-13,547.18,54.72,35,Cash,Delivered,527.46,2024,June
O000206,C03341,R0069,2024-07-26,857.87,0,35,Wallet,Delivered,892.87,2024,July
O000207,C04404,R0045,2026-02-03,536.75,0,22,UPI,Cancelled,558.75,2026,February
O000208,C04674,R0070,2024-06-11,956.01,0,43,Wallet,Delivered,999.01,2024,June
O000209,C03948,R0048,2025-09-22,1170.1,117.01,34,UPI,Delivered,1087.09,2025,September
O000210,C04473,R0036,2026-03-13,535.53,0,29,UPI,Delivered,564.53,2026,March
O000211,C03736,R0148,2025-02-06,548.59,0,34,Card,Refunded,582.59,2025,February
O000212,C01237,R0150,2024-02-16,576.71,0,26,Cash,Cancelled,602.71,2024,February
O000213,C04571,R0051,2024-02-05,494.53,0,49,UPI,Cancelled,543.53,2024,February
O000214,C04083,R0125,2026-02-10,1382.25,138.22,29,Wallet,Delivered,1273.03,2026,February
O000215,C02151,R0200,2024-09-01,1033.8,0,38,Card,Delivered,1071.8,2024,September
O000216,C03712,R0097,2024-01-04,823.29,0,58,UPI,Delivered,881.29,2024,January
O000217,C01953,R0116,2025-06-06,320.83,0,32,Card,Delivered,352.83,2025,June
O000218,C04767,R0177,2025-04-21,1230.32,0,53,Card,Delivered,1283.32,2025,April
O000219,C03484,R0085,2024-06-13,1015.9,101.59,27,Wallet,Cancelled,941.31,2024,June
O000220,C03321,R0152,2026-01-20,1092.44,0,46,Card,Delivered,1138.44,2026,January
O000221,C02152,R0057,2026-03-10,1251.4,0,59,UPI,Delivered,1310.4,2026,March
O000222,C04175,R0149,2026-02-03,1284.46,0,28,Cash,Delivered,1312.46,2026,February
O000223,C04381,R0149,2024-05-28,510.11,51.01,51,Cash,Delivered,510.1,2024,May
O000224,C00817,R0047,2025-01-11,674.76,0,47,Cash,Delivered,721.76,2025,January
O000225,C04445,R0168,2025-07-26,1526.01,0,48,UPI,Refunded,1574.01,2025,July
O000226,C03678,R0054,2025-11-23,777.22,77.72,32,Card,Refunded,731.5,2025,November
O000227,C04732,R0056,2024-08-11,1504.24,150.42,32,Card,Delivered,1385.82,2024,August
O000228,C02914,R0059,2025-12-19,1031.66,0,31,Wallet,Delivered,1062.66,2025,December
O000229,C01919,R0047,2024-02-19,1227.24,122.72,24,Card,Delivered,1128.52,2024,February
O000230,C03383,R0087,2026-01-12,1080.54,0,43,UPI,Refunded,1123.54,2026,January
O000231,C00718,R0128,2026-04-12,405.64,40.56,21,UPI,Refunded,386.08,2026,April
O000232,C01583,R0071,2025-04-12,1027.97,102.8,49,Card,Cancelled,974.17,2025,April
O000233,C03384,R0170,2025-11-06,229.89,22.99,58,UPI,Cancelled,264.9,2025,November
O000234,C01173,R0005,2025-06-25,1466.16,146.62,28,Card,Delivered,1347.54,2025,June
O000235,C01845,R0154,2024-07-13,294.21,0,21,Wallet,Delivered,315.21,2024,July
O000236,C01471,R0074,2024-07-25,448.14,0,48,UPI,Cancelled,496.14,2024,July
O000237,C04377,R0125,2024-03-10,801.92,80.19,38,Wallet,Cancelled,759.73,2024,March
O000238,C04806,R0002,2025-11-05,662.61,66.26,51,Card,Cancelled,647.35,2025,November
O000239,C04258,R0100,2024-04-16,263.96,26.4,26,Card,Refunded,263.56,2024,April
O000240,C00846,R0072,2024-03-31,1352.42,0,23,Cash,Cancelled,1375.42,2024,March
O000241,C00714,R0027,2024-12-05,752.74,75.27,48,UPI,Delivered,725.47,2024,December
O000242,C00143,R0011,2024-07-14,217.82,0,21,UPI,Delivered,238.82,2024,July
O000243,C03160,R0171,2026-01-27,1268.63,0,33,UPI,Cancelled,1301.63,2026,January
O000244,C03974,R0021,2024-01-17,1418.64,141.86,54,UPI,Cancelled,1330.78,2024,January
O000245,C04028,R0083,2024-04-23,955.73,0,57,UPI,Delivered,1012.73,2024,April
O000246,C03967,R0089,2024-05-31,709.9,0,58,Wallet,Delivered,767.9,2024,May
O000247,C00324,R0101,2024-06-28,363.11,0,47,UPI,Refunded,410.11,2024,June
O000248,C00389,R0065,2024-11-11,718.36,71.84,20,UPI,Cancelled,666.52,2024,November
O000249,C02583,R0066,2024-01-31,793.87,79.39,29,Wallet,Delivered,743.48,2024,January
O000250,C03957,R0019,2024-02-16,362.06,0,42,Cash,Delivered,404.06,2024,February
O000251,C04799,R0160,2025-01-14,536.82,0,38,Card,Delivered,574.82,2025,January
O000252,C01890,R0005,2025-11-09,387.95,0,38,Cash,Delivered,425.95,2025,November
O000253,C01860,R0023,2025-11-22,978.12,97.81,46,UPI,Delivered,926.31,2025,November
O000254,C04113,R0055,2025-01-01,1403.95,0,57,Card,Delivered,1460.95,2025,January
O000255,C00530,R0141,2026-02-18,746.52,0,25,UPI,Cancelled,771.52,2026,February
O000256,C04827,R0114,2024-01-04,756.86,0,37,UPI,Delivered,793.86,2024,January
O000257,C04670,R0041,2025-01-04,1124.09,0,46,UPI,Refunded,1170.09,2025,January
O000258,C00564,R0036,2024-12-20,519.52,0,23,UPI,Cancelled,542.52,2024,December
O000259,C03590,R0189,2025-07-20,442.93,44.29,57,Cash,Cancelled,455.64,2025,July
O000260,C03490,R0180,2026-01-19,1303.75,130.38,37,Cash,Delivered,1210.37,2026,January
O000261,C04594,R0172,2025-09-09,557.17,55.72,51,Wallet,Delivered,552.45,2025,September
O000262,C02806,R0097,2025-03-14,1051.8,0,31,UPI,Delivered,1082.8,2025,March
O000263,C00583,R0063,2025-01-24,822.2,0,42,Card,Delivered,864.2,2025,January
O000264,C04331,R0023,2024-04-25,1422.9,0,21,UPI,Delivered,1443.9,2024,April
O000265,C01940,R0125,2024-09-02,1201.24,0,27,Cash,Delivered,1228.24,2024,September
O000266,C03238,R0131,2024-10-30,545.98,0,31,Cash,Cancelled,576.98,2024,October
O000267,C03047,R0036,2026-02-27,340.2,0,30,Wallet,Cancelled,370.2,2026,February
O000268,C04936,R0108,2026-04-19,692.62,69.26,27,Wallet,Delivered,650.36,2026,April
O000269,C02356,R0137,2025-12-06,765.99,0,23,UPI,Delivered,788.99,2025,December
O000270,C02139,R0171,2026-04-14,823.56,82.36,48,Card,Refunded,789.2,2026,April
O000271,C03973,R0129,2024-04-13,683.84,68.38,39,UPI,Delivered,654.46,2024,April
O000272,C04748,R0096,2025-12-19,495.7,49.57,33,UPI,Cancelled,479.13,2025,December
O000273,C01211,R0019,2024-05-31,454.26,45.43,30,UPI,Delivered,438.83,2024,May
O000274,C02887,R0110,2025-10-17,297.03,0,56,UPI,Delivered,353.03,2025,October
O000275,C04174,R0136,2025-10-13,714.78,0,33,UPI,Delivered,747.78,2025,October
O000276,C01565,R0081,2025-01-27,1102.48,0,33,UPI,Refunded,1135.48,2025,January
O000277,C04659,R0189,2024-07-25,975.04,0,29,Card,Cancelled,1004.04,2024,July
O000278,C04304,R0129,2025-11-05,1085.25,0,58,UPI,Delivered,1143.25,2025,November
O000279,C02668,R0160,2026-02-05,1038.75,0,20,Cash,Cancelled,1058.75,2026,February
O000280,C03908,R0155,2024-07-17,1193.73,0,60,UPI,Delivered,1253.73,2024,July
O000281,C01436,R0040,2024-02-14,902.76,90.28,38,Cash,Delivered,850.48,2024,February
O000282,C03876,R0191,2025-01-11,1206.55,0,44,Card,Cancelled,1250.55,2025,January
O000283,C01179,R0191,2025-05-23,506.71,50.67,31,UPI,Refunded,487.04,2025,May
O000284,C01798,R0179,2026-01-31,389.34,38.93,53,Card,Delivered,403.41,2026,January
O000285,C04734,R0139,2024-12-18,330.9,0,37,UPI,Delivered,367.9,2024,December
O000286,C04917,R0009,2025-09-16,814.17,81.42,36,UPI,Refunded,768.75,2025,September
O000287,C03006,R0095,2026-03-05,694.84,69.48,29,Wallet,Cancelled,654.36,2026,March
O000288,C01872,R0145,2024-08-29,1023.83,0,48,Cash,Delivered,1071.83,2024,August
O000289,C00249,R0194,2025-06-28,727.56,72.76,60,UPI,Refunded,714.8,2025,June
O000290,C01342,R0155,2025-02-15,1326.64,132.66,37,Cash,Delivered,1230.98,2025,February
O000291,C01226,R0142,2024-07-08,1508.07,150.81,31,Wallet,Delivered,1388.26,2024,July
O000292,C02037,R0023,2024-07-10,440.44,0,32,Cash,Delivered,472.44,2024,July
O000293,C03538,R0098,2024-04-17,1048.71,104.87,50,UPI,Cancelled,993.84,2024,April
O000294,C03936,R0118,2025-12-11,700.69,70.07,32,Cash,Delivered,662.62,2025,December
O000295,C03781,R0186,2024-05-16,1413.75,141.38,38,UPI,Delivered,1310.37,2024,May
